packet_id,label,mutation_type,severity,pr_vendor,gst_vendor,pr_ref,gst_ref,pr_amount,gst_amount,pr_date,gst_date,pr_gstin,gst_gstin
pkt-554,FUZZY_MATCH,string_distance,low,Supplier Inc 554,Suplier Inc 554,INV-10554,INV10554,27781.53,27781.53,2023-07-04,2023-07-04,27AAAAA1554A1Z5,27AAAAA1554A1Z5
pkt-555,EXACT_MATCH,none,none,Supplier LLC 555,Supplier LLC 555,INV-10555,INV-10555,17760.32,17760.32,2023-02-20,2023-02-20,27AAAAA1555A1Z5,27AAAAA1555A1Z5
pkt-556,EXACT_MATCH,none,none,Supplier Inc 556,Supplier Inc 556,INV-10556,INV-10556,715.8,715.8,2023-07-13,2023-07-13,27AAAAA1556A1Z5,27AAAAA1556A1Z5
pkt-557,EXACT_MATCH,none,none,Supplier Corp 557,Supplier Corp 557,INV-10557,INV-10557,45066.69,45066.69,2023-04-19,2023-04-19,27AAAAA1557A1Z5,27AAAAA1557A1Z5
pkt-558,FUZZY_MATCH,minor_amount_diff,low,Supplier LLC 558,Supplier LLC 558,INV-10558,INV-10558,19098.53,19101.03,2023-03-09,2023-03-09,27AAAAA1558A1Z5,27AAAAA1558A1Z5
pkt-559,EXACT_MATCH,none,none,Supplier LLC 559,Supplier LLC 559,INV-10559,INV-10559,7382.15,7382.15,2023-03-14,2023-03-14,27AAAAA1559A1Z5,27AAAAA1559A1Z5
pkt-560,FUZZY_MATCH,date_shift,medium,Supplier LLC 560,Supplier LLC 560,INV-10560,INV-10560,15057.64,15057.64,2023-02-12,2023-02-17,27AAAAA1560A1Z5,27AAAAA1560A1Z5
pkt-561,FUZZY_MATCH,string_distance,low,Supplier Ltd 561,Suplier Ltd 561,INV-10561,INV10561,24840.54,24840.54,2023-10-07,2023-10-07,27AAAAA1561A1Z5,27AAAAA1561A1Z5
pkt-562,NO_MATCH,different_entity,high,Supplier LLC 562,Different Supplier Inc,INV-10562,INV-10562,6860.93,6860.93,2023-01-13,2023-01-13,27AAAAA1562A1Z5,27BBBBB1234B1Z5
pkt-563,EXACT_MATCH,none,none,Supplier LLC 563,Supplier LLC 563,INV-10563,INV-10563,19056.51,19056.51,2023-06-15,2023-06-15,27AAAAA1563A1Z5,27AAAAA1563A1Z5
pkt-564,FUZZY_MATCH,minor_amount_diff,low,Supplier Corp 564,Supplier Corp 564,INV-10564,INV-10564,40792.23,40793.23,2023-11-20,2023-11-20,27AAAAA1564A1Z5,27AAAAA1564A1Z5
pkt-565,NO_MATCH,invalid_gstin_suffix,high,Supplier Ltd 565,Supplier Ltd 565,INV-10565,INV-10565,30200.24,30200.24,2023-12-07,2023-12-07,27AAAAA1565A1Z5,27AAAAA1565A1ZX
pkt-566,EXACT_MATCH,none,none,Supplier LLC 566,Supplier LLC 566,INV-10566,INV-10566,8964.1,8964.1,2023-07-11,2023-07-11,27AAAAA1566A1Z5,27AAAAA1566A1Z5
pkt-567,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 567,Supplier Corp 567,INV-10567,INV-10567,34778.39,34778.39,2023-08-19,2023-08-19,27AAAAA1567A1Z5,27AAAAA1567A1ZX
pkt-568,NO_MATCH,different_entity,high,Supplier Inc 568,Different Supplier Inc,INV-10568,INV-10568,18865.16,18865.16,2023-07-12,2023-07-12,27AAAAA1568A1Z5,27BBBBB1234B1Z5
pkt-569,EXACT_MATCH,none,none,Supplier Inc 569,Supplier Inc 569,INV-10569,INV-10569,10070.02,10070.02,2023-09-06,2023-09-06,27AAAAA1569A1Z5,27AAAAA1569A1Z5
pkt-570,FUZZY_MATCH,minor_amount_diff,low,Supplier Ltd 570,Supplier Ltd 570,INV-10570,INV-10570,23134.95,23133.95,2023-12-07,2023-12-07,27AAAAA1570A1Z5,27AAAAA1570A1Z5
pkt-571,FUZZY_MATCH,ocr_artifacts,medium,Supplier Ltd 571,Supplier Ltd 571,INV-10571,INV-IO57I,40966.38,40966.39,2023-07-22,2023-07-22,27AAAAA1571A1Z5,27AAAAA1571A1Z5
pkt-572,EXACT_MATCH,none,none,Supplier Corp 572,Supplier Corp 572,INV-10572,INV-10572,31703.47,31703.47,2023-04-09,2023-04-09,27AAAAA1572A1Z5,27AAAAA1572A1Z5
pkt-573,NO_MATCH,different_entity,high,Supplier Ltd 573,Different Supplier Inc,INV-10573,INV-10573,21214.08,21214.08,2023-07-03,2023-07-03,27AAAAA1573A1Z5,27BBBBB1234B1Z5
pkt-574,CONTRADICTION,major_amount_diff,high,Supplier Ltd 574,Supplier Ltd 574,INV-10574,INV-10574,24013.81,48027.620,2023-07-18,2023-07-18,27AAAAA1574A1Z5,27AAAAA1574A1Z5
pkt-575,FUZZY_MATCH,string_distance,low,Supplier Inc 575,Suplier Inc 575,INV-10575,INV10575,1934.58,1934.58,2023-06-23,2023-06-23,27AAAAA1575A1Z5,27AAAAA1575A1Z5
pkt-576,FUZZY_MATCH,ocr_artifacts,medium,Supplier LLC 576,Supplier LLC 576,INV-10576,INV-IO576,38470.81,38470.82,2023-11-22,2023-11-22,27AAAAA1576A1Z5,27AAAAA1576A1Z5
pkt-577,NO_MATCH,invalid_gstin_suffix,high,Supplier Ltd 577,Supplier Ltd 577,INV-10577,INV-10577,32385.29,32385.29,2023-01-19,2023-01-19,27AAAAA1577A1Z5,27AAAAA1577A1ZX
pkt-578,FUZZY_MATCH,string_distance,low,Supplier Inc 578,Suplier Inc 578,INV-10578,INV10578,48289.27,48289.27,2023-07-04,2023-07-04,27AAAAA1578A1Z5,27AAAAA1578A1Z5
pkt-579,NO_MATCH,missing_record,high,Supplier Corp 579,,INV-10579,,13011.04,,2023-09-24,,27AAAAA1579A1Z5,
pkt-580,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 580,Supplier Corp 580,INV-10580,INV-10580,18768.57,18768.57,2023-08-25,2023-08-25,27AAAAA1580A1Z5,27AAAAA1580A1ZX
pkt-581,EXACT_MATCH,none,none,Supplier LLC 581,Supplier LLC 581,INV-10581,INV-10581,49885.37,49885.37,2023-08-04,2023-08-04,27AAAAA1581A1Z5,27AAAAA1581A1Z5
pkt-582,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 582,Supplier Corp 582,INV-10582,INV-10582,46035.32,46035.32,2023-02-04,2023-02-04,27AAAAA1582A1Z5,27AAAAA1582A1ZX
pkt-583,CONTRADICTION,major_amount_diff,high,Supplier Corp 583,Supplier Corp 583,INV-10583,INV-10583,15663.33,31326.660,2023-08-26,2023-08-26,27AAAAA1583A1Z5,27AAAAA1583A1Z5
pkt-584,EXACT_MATCH,none,none,Supplier Ltd 584,Supplier Ltd 584,INV-10584,INV-10584,24198.01,24198.01,2023-08-04,2023-08-04,27AAAAA1584A1Z5,27AAAAA1584A1Z5
pkt-585,EXACT_MATCH,none,none,Supplier LLC 585,Supplier LLC 585,INV-10585,INV-10585,34868.49,34868.49,2023-06-03,2023-06-03,27AAAAA1585A1Z5,27AAAAA1585A1Z5
pkt-586,EXACT_MATCH,none,none,Supplier LLC 586,Supplier LLC 586,INV-10586,INV-10586,40528.28,40528.28,2023-02-01,2023-02-01,27AAAAA1586A1Z5,27AAAAA1586A1Z5
pkt-587,CONTRADICTION,major_amount_diff,high,Supplier Corp 587,Supplier Corp 587,INV-10587,INV-10587,5557.2,11114.40,2023-03-24,2023-03-24,27AAAAA1587A1Z5,27AAAAA1587A1Z5
pkt-588,NO_MATCH,missing_record,high,Supplier Ltd 588,,INV-10588,,8805.22,,2023-03-11,,27AAAAA1588A1Z5,
pkt-589,FUZZY_MATCH,ocr_artifacts,medium,Supplier Corp 589,Supplier Corp 589,INV-10589,INV-IO589,11669.59,11669.60,2023-07-21,2023-07-21,27AAAAA1589A1Z5,27AAAAA1589A1Z5
pkt-590,EXACT_MATCH,none,none,Supplier Inc 590,Supplier Inc 590,INV-10590,INV-10590,32059.9,32059.9,2023-07-13,2023-07-13,27AAAAA1590A1Z5,27AAAAA1590A1Z5
pkt-591,EXACT_MATCH,none,none,Supplier Ltd 591,Supplier Ltd 591,INV-10591,INV-10591,30743.94,30743.94,2023-04-15,2023-04-15,27AAAAA1591A1Z5,27AAAAA1591A1Z5
pkt-592,EXACT_MATCH,none,none,Supplier LLC 592,Supplier LLC 592,INV-10592,INV-10592,322.06,322.06,2023-04-07,2023-04-07,27AAAAA1592A1Z5,27AAAAA1592A1Z5
pkt-593,CONTRADICTION,major_amount_diff,high,Supplier Inc 593,Supplier Inc 593,INV-10593,INV-10593,40455.62,80911.240,2023-02-19,2023-02-19,27AAAAA1593A1Z5,27AAAAA1593A1Z5
pkt-594,FUZZY_MATCH,string_distance,low,Supplier Ltd 594,Suplier Ltd 594,INV-10594,INV10594,9429.3,9429.3,2023-06-07,2023-06-07,27AAAAA1594A1Z5,27AAAAA1594A1Z5
pkt-595,NO_MATCH,different_entity,high,Supplier LLC 595,Different Supplier Inc,INV-10595,INV-10595,13191.43,13191.43,2023-08-17,2023-08-17,27AAAAA1595A1Z5,27BBBBB1234B1Z5
pkt-596,NO_MATCH,invalid_gstin_suffix,high,Supplier Inc 596,Supplier Inc 596,INV-10596,INV-10596,19493.1,19493.1,2023-07-19,2023-07-19,27AAAAA1596A1Z5,27AAAAA1596A1ZX
pkt-597,EXACT_MATCH,none,none,Supplier Corp 597,Supplier Corp 597,INV-10597,INV-10597,17664.05,17664.05,2023-08-20,2023-08-20,27AAAAA1597A1Z5,27AAAAA1597A1Z5
pkt-598,EXACT_MATCH,none,none,Supplier Inc 598,Supplier Inc 598,INV-10598,INV-10598,35328.82,35328.82,2023-05-20,2023-05-20,27AAAAA1598A1Z5,27AAAAA1598A1Z5
pkt-599,FUZZY_MATCH,string_distance,low,Supplier LLC 599,Suplier LLC 599,INV-10599,INV10599,6783.99,6783.99,2023-02-08,2023-02-08,27AAAAA1599A1Z5,27AAAAA1599A1Z5
pkt-600,EXACT_MATCH,none,none,Supplier Ltd 600,Supplier Ltd 600,INV-10600,INV-10600,9233.92,9233.92,2023-12-05,2023-12-05,27AAAAA1600A1Z5,27AAAAA1600A1Z5
pkt-601,FUZZY_MATCH,ocr_artifacts,medium,Supplier Ltd 601,Supplier Ltd 601,INV-10601,INV-IO6OI,29861.65,29861.66,2023-10-13,2023-10-13,27AAAAA1601A1Z5,27AAAAA1601A1Z5
pkt-602,CONTRADICTION,major_amount_diff,high,Supplier Corp 602,Supplier Corp 602,INV-10602,INV-10602,24384.84,48769.680,2023-09-23,2023-09-23,27AAAAA1602A1Z5,27AAAAA1602A1Z5
pkt-603,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 603,Supplier Corp 603,INV-10603,INV-10603,8426.59,8426.59,2023-05-05,2023-05-05,27AAAAA1603A1Z5,27AAAAA1603A1ZX
pkt-604,EXACT_MATCH,none,none,Supplier LLC 604,Supplier LLC 604,INV-10604,INV-10604,42115.06,42115.06,2023-10-02,2023-10-02,27AAAAA1604A1Z5,27AAAAA1604A1Z5
pkt-605,CONTRADICTION,major_amount_diff,high,Supplier Ltd 605,Supplier Ltd 605,INV-10605,INV-10605,24281.99,48563.980,2023-04-27,2023-04-27,27AAAAA1605A1Z5,27AAAAA1605A1Z5
pkt-606,EXACT_MATCH,none,none,Supplier Ltd 606,Supplier Ltd 606,INV-10606,INV-10606,25321.36,25321.36,2023-08-14,2023-08-14,27AAAAA1606A1Z5,27AAAAA1606A1Z5
pkt-607,FUZZY_MATCH,string_distance,low,Supplier Corp 607,Suplier Corp 607,INV-10607,INV10607,35536.1,35536.1,2023-08-16,2023-08-16,27AAAAA1607A1Z5,27AAAAA1607A1Z5
pkt-608,FUZZY_MATCH,minor_amount_diff,low,Supplier Inc 608,Supplier Inc 608,INV-10608,INV-10608,28313.35,28313.85,2023-04-10,2023-04-10,27AAAAA1608A1Z5,27AAAAA1608A1Z5
pkt-609,NO_MATCH,different_entity,high,Supplier Ltd 609,Different Supplier Inc,INV-10609,INV-10609,26926.67,26926.67,2023-03-25,2023-03-25,27AAAAA1609A1Z5,27BBBBB1234B1Z5
pkt-610,NO_MATCH,different_entity,high,Supplier Inc 610,Different Supplier Inc,INV-10610,INV-10610,37151.66,37151.66,2023-08-18,2023-08-18,27AAAAA1610A1Z5,27BBBBB1234B1Z5
pkt-611,CONTRADICTION,major_amount_diff,high,Supplier LLC 611,Supplier LLC 611,INV-10611,INV-10611,5798.91,11597.820,2023-09-27,2023-09-27,27AAAAA1611A1Z5,27AAAAA1611A1Z5
pkt-612,CONTRADICTION,major_amount_diff,high,Supplier Ltd 612,Supplier Ltd 612,INV-10612,INV-10612,41148.29,82296.580,2023-01-25,2023-01-25,27AAAAA1612A1Z5,27AAAAA1612A1Z5
pkt-613,FUZZY_MATCH,minor_amount_diff,low,Supplier Corp 613,Supplier Corp 613,INV-10613,INV-10613,11005.24,11004.24,2023-07-04,2023-07-04,27AAAAA1613A1Z5,27AAAAA1613A1Z5
pkt-614,NO_MATCH,missing_record,high,Supplier Inc 614,,INV-10614,,22541.64,,2023-06-28,,27AAAAA1614A1Z5,
pkt-615,FUZZY_MATCH,date_shift,medium,Supplier Corp 615,Supplier Corp 615,INV-10615,INV-10615,43277.99,43277.99,2023-02-25,2023-03-01,27AAAAA1615A1Z5,27AAAAA1615A1Z5
pkt-616,FUZZY_MATCH,ocr_artifacts,medium,Supplier Ltd 616,Supplier Ltd 616,INV-10616,INV-IO6I6,34487.77,34487.78,2023-12-20,2023-12-20,27AAAAA1616A1Z5,27AAAAA1616A1Z5
pkt-617,EXACT_MATCH,none,none,Supplier Corp 617,Supplier Corp 617,INV-10617,INV-10617,30845.94,30845.94,2023-04-27,2023-04-27,27AAAAA1617A1Z5,27AAAAA1617A1Z5
pkt-618,NO_MATCH,invalid_gstin_suffix,high,Supplier Corp 618,Supplier Corp 618,INV-10618,INV-10618,28546.71,28546.71,2023-09-09,2023-09-09,27AAAAA1618A1Z5,27AAAAA1618A1ZX
pkt-619,CONTRADICTION,major_amount_diff,high,Supplier LLC 619,Supplier LLC 619,INV-10619,INV-10619,48952.11,97904.220,2023-05-10,2023-05-10,27AAAAA1619A1Z5,27AAAAA1619A1Z5
pkt-620,FUZZY_MATCH,ocr_artifacts,medium,Supplier Inc 620,Supplier Inc 620,INV-10620,INV-IO62O,49275.87,49275.88,2023-11-27,2023-11-27,27AAAAA1620A1Z5,27AAAAA1620A1Z5
pkt-621,EXACT_MATCH,none,none,Supplier LLC 621,Supplier LLC 621,INV-10621,INV-10621,48142.32,48142.32,2023-07-02,2023-07-02,27AAAAA1621A1Z5,27AAAAA1621A1Z5
pkt-622,EXACT_MATCH,none,none,Supplier Corp 622,Supplier Corp 622,INV-10622,INV-10622,6431.72,6431.72,2023-03-08,2023-03-08,27AAAAA1622A1Z5,27AAAAA1622A1Z5
pkt-623,NO_MATCH,missing_record,high,Supplier Ltd 623,,INV-10623,,16172.63,,2023-04-25,,27AAAAA1623A1Z5,
pkt-624,EXACT_MATCH,none,none,Supplier Ltd 624,Supplier Ltd 624,INV-10624,INV-10624,7194.36,7194.36,2023-11-09,2023-11-09,27AAAAA1624A1Z5,27AAAAA1624A1Z5
pkt-625,EXACT_MATCH,none,none,Supplier Inc 625,Supplier Inc 625,INV-10625,INV-10625,22654.39,22654.39,2023-11-26,2023-11-26,27AAAAA1625A1Z5,27AAAAA1625A1Z5
pkt-626,NO_MATCH,missing_record,high,Supplier LLC 626,,INV-10626,,25829.11,,2023-05-23,,27AAAAA1626A1Z5,
pkt-627,EXACT_MATCH,none,none,Supplier Inc 627,Supplier Inc 627,INV-10627,INV-10627,47517.68,47517.68,2023-06-19,2023-06-19,27AAAAA1627A1Z5,27AAAAA1627A1Z5
pkt-628,FUZZY_MATCH,string_distance,low,Supplier LLC 628,Suplier LLC 628,INV-10628,INV10628,4747.77,4747.77,2023-08-21,2023-08-21,27AAAAA1628A1Z5,27AAAAA1628A1Z5
pkt-629,FUZZY_MATCH,date_shift,medium,Supplier Ltd 629,Supplier Ltd 629,INV-10629,INV-10629,39804.33,39804.33,2023-07-07,2023-07-09,27AAAAA1629A1Z5,27AAAAA1629A1Z5
pkt-630,NO_MATCH,different_entity,high,Supplier Corp 630,Different Supplier Inc,INV-10630,INV-10630,13499.99,13499.99,2023-05-11,2023-05-11,27AAAAA1630A1Z5,27BBBBB1234B1Z5
pkt-631,EXACT_MATCH,none,none,Supplier Inc 631,Supplier Inc 631,INV-10631,INV-10631,42635.89,42635.89,2023-06-22,2023-06-22,27AAAAA1631A1Z5,27AAAAA1631A1Z5
pkt-632,FUZZY_MATCH,ocr_artifacts,medium,Supplier Inc 632,Supplier Inc 632,INV-10632,INV-IO632,5068.78,5068.79,2023-08-01,2023-08-01,27AAAAA1632A1Z5,27AAAAA1632A1Z5
pkt-633,EXACT_MATCH,none,none,Supplier Corp 633,Supplier Corp 633,INV-10633,INV-10633,22120.17,22120.17,2023-01-14,2023-01-14,27AAAAA1633A1Z5,27AAAAA1633A1Z5
pkt-634,FUZZY_MATCH,minor_amount_diff,low,Supplier Corp 634,Supplier Corp 634,INV-10634,INV-10634,45479.42,45478.42,2023-11-10,2023-11-10,27AAAAA1634A1Z5,27AAAAA1634A1Z5
pkt-635,EXACT_MATCH,none,none,Supplier LLC 635,Supplier LLC 635,INV-10635,INV-10635,32763.94,32763.94,2023-05-03,2023-05-03,27AAAAA1635A1Z5,27AAAAA1635A1Z5
pkt-636,EXACT_MATCH,none,none,Supplier Ltd 636,Supplier Ltd 636,INV-10636,INV-10636,45199.63,45199.63,2023-03-02,2023-03-02,27AAAAA1636A1Z5,27AAAAA1636A1Z5
pkt-637,EXACT_MATCH,none,none,Supplier Corp 637,Supplier Corp 637,INV-10637,INV-10637,15344.91,15344.91,2023-12-25,2023-12-25,27AAAAA1637A1Z5,27AAAAA1637A1Z5
pkt-638,FUZZY_MATCH,date_shift,medium,Supplier Inc 638,Supplier Inc 638,INV-10638,INV-10638,32808.71,32808.71,2023-12-04,2023-12-06,27AAAAA1638A1Z5,27AAAAA1638A1Z5
pkt-639,EXACT_MATCH,none,none,Supplier Ltd 639,Supplier Ltd 639,INV-10639,INV-10639,3989.14,3989.14,2023-10-08,2023-10-08,27AAAAA1639A1Z5,27AAAAA1639A1Z5
pkt-640,EXACT_MATCH,none,none,Supplier Inc 640,Supplier Inc 640,INV-10640,INV-10640,502.32,502.32,2023-06-27,2023-06-27,27AAAAA1640A1Z5,27AAAAA1640A1Z5
pkt-641,EXACT_MATCH,none,none,Supplier Corp 641,Supplier Corp 641,INV-10641,INV-10641,34732.15,34732.15,2023-08-03,2023-08-03,27AAAAA1641A1Z5,27AAAAA1641A1Z5
pkt-642,NO_MATCH,invalid_gstin_suffix,high,Supplier LLC 642,Supplier LLC 642,INV-10642,INV-10642,4557.62,4557.62,2023-02-04,2023-02-04,27AAAAA1642A1Z5,27AAAAA1642A1ZX
pkt-643,EXACT_MATCH,none,none,Supplier Corp 643,Supplier Corp 643,INV-10643,INV-10643,44061.35,44061.35,2023-03-13,2023-03-13,27AAAAA1643A1Z5,27AAAAA1643A1Z5
pkt-644,NO_MATCH,different_entity,high,Supplier Inc 644,Different Supplier Inc,INV-10644,INV-10644,49647.71,49647.71,2023-03-03,2023-03-03,27AAAAA1644A1Z5,27BBBBB1234B1Z5
pkt-645,EXACT_MATCH,none,none,Supplier Corp 645,Supplier Corp 645,INV-10645,INV-10645,32536.01,32536.01,2023-08-12,2023-08-12,27AAAAA1645A1Z5,27AAAAA1645A1Z5
pkt-646,FUZZY_MATCH,date_shift,medium,Supplier Ltd 646,Supplier Ltd 646,INV-10646,INV-10646,37438.61,37438.61,2023-07-20,2023-07-16,27AAAAA1646A1Z5,27AAAAA1646A1Z5
pkt-647,NO_MATCH,different_entity,high,Supplier Inc 647,Different Supplier Inc,INV-10647,INV-10647,44839.99,44839.99,2023-03-25,2023-03-25,27AAAAA1647A1Z5,27BBBBB1234B1Z5
pkt-648,FUZZY_MATCH,ocr_artifacts,medium,Supplier LLC 648,Supplier LLC 648,INV-10648,INV-IO648,36527.46,36527.47,2023-06-14,2023-06-14,27AAAAA1648A1Z5,27AAAAA1648A1Z5
pkt-649,CONTRADICTION,major_amount_diff,high,Supplier Corp 649,Supplier Corp 649,INV-10649,INV-10649,12464.54,24929.080,2023-11-03,2023-11-03,27AAAAA1649A1Z5,27AAAAA1649A1Z5
pkt-650,EXACT_MATCH,none,none,Supplier LLC 650,Supplier LLC 650,INV-10650,INV-10650,30089.85,30089.85,2023-12-20,2023-12-20,27AAAAA1650A1Z5,27AAAAA1650A1Z5
pkt-651,CONTRADICTION,major_amount_diff,high,Supplier Corp 651,Supplier Corp 651,INV-10651,INV-10651,1438.54,2877.080,2023-11-10,2023-11-10,27AAAAA1651A1Z5,27AAAAA1651A1Z5
pkt-652,FUZZY_MATCH,minor_amount_diff,low,Supplier Ltd 652,Supplier Ltd 652,INV-10652,INV-10652,30385.65,30384.65,2023-04-24,2023-04-24,27AAAAA1652A1Z5,27AAAAA1652A1Z5
pkt-653,FUZZY_MATCH,string_distance,low,Supplier Ltd 653,Suplier Ltd 653,INV-10653,INV10653,39211.7,39211.7,2023-04-16,2023-04-16,27AAAAA1653A1Z5,27AAAAA1653A1Z5
pkt-654,CONTRADICTION,major_amount_diff,high,Supplier Inc 654,Supplier Inc 654,INV-10654,INV-10654,12129.98,24259.960,2023-11-20,2023-11-20,27AAAAA1654A1Z5,27AAAAA1654A1Z5
pkt-655,FUZZY_MATCH,ocr_artifacts,medium,Supplier LLC 655,Supplier LLC 655,INV-10655,INV-IO655,44447.35,44447.36,2023-01-12,2023-01-12,27AAAAA1655A1Z5,27AAAAA1655A1Z5
pkt-656,CONTRADICTION,major_amount_diff,high,Supplier LLC 656,Supplier LLC 656,INV-10656,INV-10656,19403.23,38806.460,2023-10-14,2023-10-14,27AAAAA1656A1Z5,27AAAAA1656A1Z5
pkt-657,EXACT_MATCH,none,none,Supplier Inc 657,Supplier Inc 657,INV-10657,INV-10657,34178.81,34178.81,2023-08-25,2023-08-25,27AAAAA1657A1Z5,27AAAAA1657A1Z5
pkt-658,EXACT_MATCH,none,none,Supplier Corp 658,Supplier Corp 658,INV-10658,INV-10658,29409.44,29409.44,2023-01-09,2023-01-09,27AAAAA1658A1Z5,27AAAAA1658A1Z5
pkt-659,EXACT_MATCH,none,none,Supplier LLC 659,Supplier LLC 659,INV-10659,INV-10659,46136.71,46136.71,2023-07-17,2023-07-17,27AAAAA1659A1Z5,27AAAAA1659A1Z5
pkt-660,FUZZY_MATCH,string_distance,low,Supplier Ltd 660,Suplier Ltd 660,INV-10660,INV10660,35660.19,35660.19,2023-07-14,2023-07-14,27AAAAA1660A1Z5,27AAAAA1660A1Z5
pkt-661,FUZZY_MATCH,minor_amount_diff,low,Supplier Corp 661,Supplier Corp 661,INV-10661,INV-10661,32062.81,32061.81,2023-09-20,2023-09-20,27AAAAA1661A1Z5,27AAAAA1661A1Z5
pkt-662,CONTRADICTION,major_amount_diff,high,Supplier Corp 662,Supplier Corp 662,INV-10662,INV-10662,15564.35,31128.700,2023-09-07,2023-09-07,27AAAAA1662A1Z5,27AAAAA1662A1Z5
pkt-663,FUZZY_MATCH,minor_amount_diff,low,Supplier Inc 663,Supplier Inc 663,INV-10663,INV-10663,16404.84,16407.34,2023-10-21,2023-10-21,27AAAAA1663A1Z5,27AAAAA1663A1Z5
pkt-664,FUZZY_MATCH,string_distance,low,Supplier Corp 664,Suplier Corp 664,INV-10664,INV10664,36524.92,36524.92,2023-04-02,2023-04-02,27AAAAA1664A1Z5,27AAAAA1664A1Z5
pkt-665,FUZZY_MATCH,minor_amount_diff,low,Supplier Inc 665,Supplier Inc 665,INV-10665,INV-10665,46238.92,46239.42,2023-02-15,2023-02-15,27AAAAA1665A1Z5,27AAAAA1665A1Z5
pkt-666,FUZZY_MATCH,ocr_artifacts,medium,Supplier Inc 666,Supplier Inc 666,INV-10666,INV-IO666,6060.21,6060.22,2023-12-05,2023-12-05,27AAAAA1666A1Z5,27AAAAA1666A1Z5
pkt-667,FUZZY_MATCH,ocr_artifacts,medium,Supplier LLC 667,Supplier LLC 667,INV-10667,INV-IO667,24871.01,24871.02,2023-06-17,2023-06-17,27AAAAA1667A1Z5,27AAAAA1667A1Z5
pkt-668,EXACT_MATCH,none,none,Supplier LLC 668,Supplier LLC 668,INV-10668,INV-10668,18656.28,18656.28,2023-12-25,2023-12-25,27AAAAA1668A1Z5,27AAAAA1668A1Z5
pkt-669,FUZZY_MATCH,minor_amount_diff,low,Supplier Ltd 669,Supplier Ltd 669,INV-10669,INV-10669,44332.1,44331.10,2023-01-11,2023-01-11,27AAAAA1669A1Z5,27AAAAA1669A1Z5
pkt-670,NO_MATCH,missing_record,high,Supplier Inc 670,,INV-10670,,13221.19,,2023-10-21,,27AAAAA1670A1Z5,
pkt-671,NO_MATCH,different_entity,high,Supplier Ltd 671,Different Supplier Inc,INV-10671,INV-10671,22814.37,22814.37,2023-06-02,2023-06-02,27AAAAA1671A1Z5,27BBBBB1234B1Z5
pkt-672,NO_MATCH,different_entity,high,Supplier Inc 672,Different Supplier Inc,INV-10672,INV-10672,8427.38,8427.38,2023-03-09,2023-03-09,27AAAAA1672A1Z5,27BBBBB1234B1Z5
pkt-673,EXACT_MATCH,none,none,Supplier Inc 673,Supplier Inc 673,INV-10673,INV-10673,33738.61,33738.61,2023-02-08,2023-02-08,27AAAAA1673A1Z5,27AAAAA1673A1Z5
pkt-674,NO_MATCH,missing_record,high,Supplier Inc 674,,INV-10674,,42948.58,,2023-01-08,,27AAAAA1674A1Z5,
pkt-675,CONTRADICTION,major_amount_diff,high,Supplier Inc 675,Supplier Inc 675,INV-10675,INV-10675,18262.43,36524.860,2023-03-06,2023-03-06,27AAAAA1675A1Z5,27AAAAA1675A1Z5
pkt-676,FUZZY_MATCH,date_shift,medium,Supplier Ltd 676,Supplier Ltd 676,INV-10676,INV-10676,40175.46,40175.46,2023-12-24,2023-12-24,27AAAAA1676A1Z5,27AAAAA1676A1Z5
pkt-677,FUZZY_MATCH,string_distance,low,Supplier LLC 677,Suplier LLC 677,INV-10677,INV10677,12488.33,12488.33,2023-12-11,2023-12-11,27AAAAA1677A1Z5,27AAAAA1677A1Z5
pkt-678,FUZZY_MATCH,ocr_artifacts,medium,Supplier Inc 678,Supplier Inc 678,INV-10678,INV-IO678,28619.64,28619.65,2023-02-17,2023-02-17,27AAAAA1678A1Z5,27AAAAA1678A1Z5
pkt-679,FUZZY_MATCH,string_distance,low,Supplier Ltd 679,Suplier Ltd 679,INV-10679,INV10679,11236.93,11236.93,2023-09-02,2023-09-02,27AAAAA1679A1Z5,27AAAAA1679A1Z5
pkt-680,NO_MATCH,invalid_gstin_suffix,high,Supplier LLC 680,Supplier LLC 680,INV-10680,INV-10680,43861.86,43861.86,2023-05-25,2023-05-25,27AAAAA1680A1Z5,27AAAAA1680A1ZX
pkt-681,FUZZY_MATCH,date_shift,medium,Supplier LLC 681,Supplier LLC 681,INV-10681,INV-10681,4410.64,4410.64,2023-08-01,2023-07-31,27AAAAA1681A1Z5,27AAAAA1681A1Z5
pkt-682,NO_MATCH,missing_record,high,Supplier Corp 682,,INV-10682,,28233.96,,2023-05-24,,27AAAAA1682A1Z5,
pkt-683,EXACT_MATCH,none,none,Supplier Corp 683,Supplier Corp 683,INV-10683,INV-10683,18476.85,18476.85,2023-08-25,2023-08-25,27AAAAA1683A1Z5,27AAAAA1683A1Z5
pkt-684,EXACT_MATCH,none,none,Supplier Inc 684,Supplier Inc 684,INV-10684,INV-10684,45032.12,45032.12,2023-04-05,2023-04-05,27AAAAA1684A1Z5,27AAAAA1684A1Z5
