pr_gstin,gstr2b_gstin,pr_supplier_name,gstr2b_supplier_name,pr_invoice_no,gstr2b_invoice_no,pr_date,gstr2b_date,pr_taxable,gstr2b_taxable,pr_igst,gstr2b_igst,pr_node_degree,gst_node_degree,component_size,label
07ABCDE4239F1Z5,07ABCDE4239F1Z5,Supplier 1154,Supplier 1154,INV-01154,INV-01154,2026-05-24,2026-05-24,34786,34786,6261.48,6261.48,1,1,2,EXACT_MATCH
07ABCDE8290F1Z5,07ABCDE8290F1Z5,Supplier 1155,Supplier 1155,INV-01155,INV-01155,2026-11-05,2026-11-05,19317,19317,3477.06,3477.06,1,1,2,EXACT_MATCH
07ABCDE1046F1Z5,07ABCDE1046F1Z5,Supplier 1156,Supplier 1156,INV-01156,INV-01156,2026-09-01,2026-09-01,20413,20413,3674.34,3674.34,1,1,2,EXACT_MATCH
07ABCDE9798F1Z5,07ABCDE9798F1Z5,Supplier 1157,Supplier 1157,INV-01157,INV-01157,2026-09-04,2026-09-04,19788,19788,3561.84,3561.84,1,1,2,EXACT_MATCH
07ABCDE8481F1Z5,07ABCDE8481F1Z5,Supplier 1158,Supplier 1158,INV-01158,INV-01158,2026-04-15,2026-04-15,58973,58973,10615.14,10615.14,1,1,2,EXACT_MATCH
07ABCDE6480F1Z5,07ABCDE6480F1Z5,Supplier 1159,Supplier 1159,INV-01159,INV-01159,2026-06-25,2026-06-25,99029,99029,17825.22,17825.22,1,1,2,EXACT_MATCH
07ABCDE5178F1Z5,07ABCDE5178F1Z5,Supplier 1160,Supplier 1160,INV-01160,INV-01160,2026-05-21,2026-05-21,56971,56971,10254.78,10254.78,1,1,2,EXACT_MATCH
07ABCDE4203F1Z5,07ABCDE4203F1Z5,Supplier 1161,Supplier 1161,INV-01161,INV-01161,2026-08-16,2026-08-16,86888,86888,15639.84,15639.84,1,1,2,EXACT_MATCH
07ABCDE8958F1Z5,07ABCDE8958F1Z5,Supplier 1162,Supplier 1162,INV-01162,INV-01162,2026-05-31,2026-05-31,1524,1524,274.32,274.32,1,1,2,EXACT_MATCH
07ABCDE7796F1Z5,07ABCDE7796F1Z5,Supplier 1163,Supplier 1163,INV-01163,INV-01163,2026-08-01,2026-08-01,45733,45733,8231.94,8231.94,1,1,2,EXACT_MATCH
07ABCDE9505F1Z5,07ABCDE9505F1Z5,Supplier 1164,Supplier 1164,INV-01164,INV-01164,2026-04-19,2026-04-19,12496,12496,2249.28,2249.28,1,1,2,EXACT_MATCH
07ABCDE1497F1Z5,07ABCDE1497F1Z5,Supplier 1165,Supplier 1165,INV-01165,INV-01165,2026-04-18,2026-04-18,62561,62561,11260.98,11260.98,1,1,2,EXACT_MATCH
07ABCDE4671F1Z5,07ABCDE4671F1Z5,Supplier 1166,Supplier 1166,INV-01166,INV-01166,2026-08-18,2026-08-18,71849,71849,12932.82,12932.82,1,1,2,EXACT_MATCH
07ABCDE3501F1Z5,07ABCDE3501F1Z5,Supplier 1167,Supplier 1167,INV-01167,INV-01167,2026-06-26,2026-06-26,32003,32003,5760.54,5760.54,1,1,2,EXACT_MATCH
07ABCDE9648F1Z5,07ABCDE9648F1Z5,Supplier 1168,Supplier 1168,INV-01168,INV-01168,2026-08-01,2026-08-01,92204,92204,16596.72,16596.72,1,1,2,EXACT_MATCH
07ABCDE7633F1Z5,07ABCDE7633F1Z5,Supplier 1169,Supplier 1169,INV-01169,INV-01169,2026-06-17,2026-06-17,50670,50670,9120.60,9120.60,1,1,2,EXACT_MATCH
07ABCDE6893F1Z5,07ABCDE6893F1Z5,Supplier 1170,Supplier 1170,INV-01170,INV-01170,2026-12-23,2026-12-23,87872,87872,15816.96,15816.96,1,1,2,EXACT_MATCH
07ABCDE4987F1Z5,07ABCDE4987F1Z5,Supplier 1171,Supplier 1171,INV-01171,INV-01171,2026-05-28,2026-05-28,11266,11266,2027.88,2027.88,1,1,2,EXACT_MATCH
07ABCDE3566F1Z5,07ABCDE3566F1Z5,Supplier 1172,Supplier 1172,INV-01172,INV-01172,2026-04-16,2026-04-16,62111,62111,11179.98,11179.98,1,1,2,EXACT_MATCH
07ABCDE7165F1Z5,07ABCDE7165F1Z5,Supplier 1173,Supplier 1173,INV-01173,INV-01173,2026-01-15,2026-01-15,27466,27466,4943.88,4943.88,1,1,2,EXACT_MATCH
07ABCDE6311F1Z5,07ABCDE6311F1Z5,Supplier 1174,Supplier 1174,INV-01174,INV-01174,2026-06-02,2026-06-02,8519,8519,1533.42,1533.42,1,1,2,EXACT_MATCH
07ABCDE8687F1Z5,07ABCDE8687F1Z5,Supplier 1175,Supplier 1175,INV-01175,INV-01175,2026-11-02,2026-11-02,60679,60679,10922.22,10922.22,1,1,2,EXACT_MATCH
07ABCDE4971F1Z5,07ABCDE4971F1Z5,Supplier 1176,Supplier 1176,INV-01176,INV-01176,2026-08-28,2026-08-28,30473,30473,5485.14,5485.14,1,1,2,EXACT_MATCH
07ABCDE4732F1Z5,07ABCDE4732F1Z5,Supplier 1177,Supplier 1177,INV-01177,INV-01177,2026-10-07,2026-10-07,45506,45506,8191.08,8191.08,1,1,2,EXACT_MATCH
07ABCDE7101F1Z5,07ABCDE7101F1Z5,Supplier 1178,Supplier 1178,INV-01178,INV-01178,2026-05-11,2026-05-11,15950,15950,2871.00,2871.00,1,1,2,EXACT_MATCH
07ABCDE6968F1Z5,07ABCDE6968F1Z5,Supplier 1179,Supplier 1179,INV-01179,INV-01179,2026-02-08,2026-02-08,28973,28973,5215.14,5215.14,1,1,2,EXACT_MATCH
07ABCDE8817F1Z5,07ABCDE8817F1Z5,Supplier 1180,Supplier 1180,INV-01180,INV-01180,2026-09-19,2026-09-19,57639,57639,10375.02,10375.02,1,1,2,EXACT_MATCH
07ABCDE5697F1Z5,07ABCDE5697F1Z5,Supplier 1181,Supplier 1181,INV-01181,INV-01181,2026-06-27,2026-06-27,87227,87227,15700.86,15700.86,1,1,2,EXACT_MATCH
07ABCDE7584F1Z5,07ABCDE7584F1Z5,Supplier 1182,Supplier 1182,INV-01182,INV-01182,2026-10-15,2026-10-15,28017,28017,5043.06,5043.06,1,1,2,EXACT_MATCH
07ABCDE2862F1Z5,07ABCDE2862F1Z5,Supplier 1183,Supplier 1183,INV-01183,INV-01183,2026-03-18,2026-03-18,33942,33942,6109.56,6109.56,1,1,2,EXACT_MATCH
07ABCDE1457F1Z5,07ABCDE1457F1Z5,Supplier 1184,Supplier 1184,INV-01184,INV-01184,2026-11-26,2026-11-26,76147,76147,13706.46,13706.46,1,1,2,EXACT_MATCH
07ABCDE2593F1Z5,07ABCDE2593F1Z5,Supplier 1185,Supplier 1185,INV-01185,INV-01185,2026-01-07,2026-01-07,58666,58666,10559.88,10559.88,1,1,2,EXACT_MATCH
07ABCDE7507F1Z5,07ABCDE7507F1Z5,Supplier 1186,Supplier 1186,INV-01186,INV-01186,2026-01-25,2026-01-25,34839,34839,6271.02,6271.02,1,1,2,EXACT_MATCH
07ABCDE2543F1Z5,07ABCDE2543F1Z5,Supplier 1187,Supplier 1187,INV-01187,INV-01187,2026-01-13,2026-01-13,99546,99546,17918.28,17918.28,1,1,2,EXACT_MATCH
07ABCDE8143F1Z5,07ABCDE8143F1Z5,Supplier 1188,Supplier 1188,INV-01188,INV-01188,2026-09-18,2026-09-18,51736,51736,9312.48,9312.48,1,1,2,EXACT_MATCH
07ABCDE4536F1Z5,07ABCDE4536F1Z5,Supplier 1189,Supplier 1189,INV-01189,INV-01189,2026-09-23,2026-09-23,91414,91414,16454.52,16454.52,1,1,2,EXACT_MATCH
07ABCDE3663F1Z5,07ABCDE3663F1Z5,Supplier 1190,Supplier 1190,INV-01190,INV-01190,2026-07-23,2026-07-23,75296,75296,13553.28,13553.28,1,1,2,EXACT_MATCH
07ABCDE4361F1Z5,07ABCDE4361F1Z5,Supplier 1191,Supplier 1191,INV-01191,INV-01191,2026-02-19,2026-02-19,59762,59762,10757.16,10757.16,1,1,2,EXACT_MATCH
07ABCDE4783F1Z5,07ABCDE4783F1Z5,Supplier 1192,Supplier 1192,INV-01192,INV-01192,2026-06-29,2026-06-29,77423,77423,13936.14,13936.14,1,1,2,EXACT_MATCH
07ABCDE6576F1Z5,07ABCDE6576F1Z5,Supplier 1193,Supplier 1193,INV-01193,INV-01193,2026-06-08,2026-06-08,70413,70413,12674.34,12674.34,1,1,2,EXACT_MATCH
07ABCDE6549F1Z5,07ABCDE6549F1Z5,Supplier 1194,Supplier 1194,INV-01194,INV-01194,2026-10-17,2026-10-17,72741,72741,13093.38,13093.38,1,1,2,EXACT_MATCH
07ABCDE6730F1Z5,07ABCDE6730F1Z5,Supplier 1195,Supplier 1195,INV-01195,INV-01195,2026-02-21,2026-02-21,27361,27361,4924.98,4924.98,1,1,2,EXACT_MATCH
07ABCDE3127F1Z5,07ABCDE3127F1Z5,Supplier 1196,Supplier 1196,INV-01196,INV-01196,2026-12-31,2026-12-31,82571,82571,14862.78,14862.78,1,1,2,EXACT_MATCH
07ABCDE5351F1Z5,07ABCDE5351F1Z5,Supplier 1197,Supplier 1197,INV-01197,INV-01197,2026-09-20,2026-09-20,14800,14800,2664.00,2664.00,1,1,2,EXACT_MATCH
07ABCDE2197F1Z5,07ABCDE2197F1Z5,Supplier 1198,Supplier 1198,INV-01198,INV-01198,2026-06-15,2026-06-15,3091,3091,556.38,556.38,1,1,2,EXACT_MATCH
07ABCDE6649F1Z5,07ABCDE6649F1Z5,Supplier 1199,Supplier 1199,INV-01199,INV-01199,2026-08-24,2026-08-24,35700,35700,6426.00,6426.00,1,1,2,EXACT_MATCH
07ABCDE8537F1Z5,07ABCDE8537F1Z5,Supplier 1200,Supplier 1200,INV-01200,INV-01200,2026-07-11,2026-07-11,19380,19380,3488.40,3488.40,1,1,2,EXACT_MATCH
07ABCDE8277F1Z5,07ABCDE8277F1Z5,Supplier 1201,Supplier 1201,INV-01201,INV-01201,2026-01-29,2026-01-29,86917,86917,15645.06,15645.06,1,1,2,EXACT_MATCH
07ABCDE5336F1Z5,07ABCDE5336F1Z5,Supplier 1202,Supplier 1202,INV-01202,INV-01202,2026-04-06,2026-04-06,42522,42522,7653.96,7653.96,1,1,2,EXACT_MATCH
07ABCDE8083F1Z5,07ABCDE8083F1Z5,Supplier 1203,Supplier 1203,INV-01203,INV-01203,2026-09-28,2026-09-28,93241,93241,16783.38,16783.38,1,1,2,EXACT_MATCH
07ABCDE2208F1Z5,07ABCDE2208F1Z5,Supplier 1204,Supplier 1204,INV-01204,INV-01204,2026-09-30,2026-09-30,93842,93842,16891.56,16891.56,1,1,2,EXACT_MATCH
07ABCDE3298F1Z5,07ABCDE3298F1Z5,Supplier 1205,Supplier 1205,INV-01205,INV-01205,2026-04-07,2026-04-07,2141,2141,385.38,385.38,1,1,2,EXACT_MATCH
07ABCDE9256F1Z5,07ABCDE9256F1Z5,Supplier 1206,Supplier 1206,INV-01206,INV-01206,2026-02-26,2026-02-26,61628,61628,11093.04,11093.04,1,1,2,EXACT_MATCH
07ABCDE2666F1Z5,07ABCDE2666F1Z5,Supplier 1207,Supplier 1207,INV-01207,INV-01207,2026-06-13,2026-06-13,92898,92898,16721.64,16721.64,1,1,2,EXACT_MATCH
07ABCDE4111F1Z5,07ABCDE4111F1Z5,Supplier 1208,Supplier 1208,INV-01208,INV-01208,2026-12-11,2026-12-11,63926,63926,11506.68,11506.68,1,1,2,EXACT_MATCH
07ABCDE8177F1Z5,07ABCDE8177F1Z5,Supplier 1209,Supplier 1209,INV-01209,INV-01209,2026-11-11,2026-11-11,7593,7593,1366.74,1366.74,1,1,2,EXACT_MATCH
07ABCDE3018F1Z5,07ABCDE3018F1Z5,Supplier 1210,Supplier 1210,INV-01210,INV-01210,2026-07-14,2026-07-14,56644,56644,10195.92,10195.92,1,1,2,EXACT_MATCH
07ABCDE1293F1Z5,07ABCDE1293F1Z5,Supplier 1211,Supplier 1211,INV-01211,INV-01211,2026-05-16,2026-05-16,58733,58733,10571.94,10571.94,1,1,2,EXACT_MATCH
07ABCDE9636F1Z5,07ABCDE9636F1Z5,Supplier 1212,Supplier 1212,INV-01212,INV-01212,2026-11-10,2026-11-10,54205,54205,9756.90,9756.90,1,1,2,EXACT_MATCH
07ABCDE9685F1Z5,07ABCDE9685F1Z5,Supplier 1213,Supplier 1213,INV-01213,INV-01213,2026-01-21,2026-01-21,83992,83992,15118.56,15118.56,1,1,2,EXACT_MATCH
07ABCDE9205F1Z5,07ABCDE9205F1Z5,Supplier 1214,Supplier 1214,INV-01214,INV-01214,2026-01-11,2026-01-11,58241,58241,10483.38,10483.38,1,1,2,EXACT_MATCH
07ABCDE3931F1Z5,07ABCDE3931F1Z5,Supplier 1215,Supplier 1215,INV-01215,INV-01215,2026-10-28,2026-10-28,18715,18715,3368.70,3368.70,1,1,2,EXACT_MATCH
07ABCDE6767F1Z5,07ABCDE6767F1Z5,Supplier 1216,Supplier 1216,INV-01216,INV-01216,2026-03-11,2026-03-11,51043,51043,9187.74,9187.74,1,1,2,EXACT_MATCH
07ABCDE9849F1Z5,07ABCDE9849F1Z5,Supplier 1217,Supplier 1217,INV-01217,INV-01217,2026-01-19,2026-01-19,59474,59474,10705.32,10705.32,1,1,2,EXACT_MATCH
07ABCDE7704F1Z5,07ABCDE7704F1Z5,Supplier 1218,Supplier 1218,INV-01218,INV-01218,2026-07-01,2026-07-01,62350,62350,11223.00,11223.00,1,1,2,EXACT_MATCH
07ABCDE4283F1Z5,07ABCDE4283F1Z5,Supplier 1219,Supplier 1219,INV-01219,INV-01219,2026-02-10,2026-02-10,76838,76838,13830.84,13830.84,1,1,2,EXACT_MATCH
07ABCDE2478F1Z5,07ABCDE2478F1Z5,Supplier 1220,Supplier 1220,INV-01220,INV-01220,2026-07-08,2026-07-08,53177,53177,9571.86,9571.86,1,1,2,EXACT_MATCH
07ABCDE4648F1Z5,07ABCDE4648F1Z5,Supplier 1221,Supplier 1221,INV-01221,INV-01221,2026-08-11,2026-08-11,63701,63701,11466.18,11466.18,1,1,2,EXACT_MATCH
07ABCDE8479F1Z5,07ABCDE8479F1Z5,Supplier 1222,Supplier 1222,INV-01222,INV-01222,2026-01-18,2026-01-18,69084,69084,12435.12,12435.12,1,1,2,EXACT_MATCH
07ABCDE7986F1Z5,07ABCDE7986F1Z5,Supplier 1223,Supplier 1223,INV-01223,INV-01223,2026-06-28,2026-06-28,37624,37624,6772.32,6772.32,1,1,2,EXACT_MATCH
07ABCDE1495F1Z5,07ABCDE1495F1Z5,Supplier 1224,Supplier 1224,INV-01224,INV-01224,2026-06-19,2026-06-19,14241,14241,2563.38,2563.38,1,1,2,EXACT_MATCH
07ABCDE8529F1Z5,07ABCDE8529F1Z5,Supplier 1225,Supplier 1225,INV-01225,INV-01225,2026-01-12,2026-01-12,99097,99097,17837.46,17837.46,1,1,2,EXACT_MATCH
07ABCDE7760F1Z5,07ABCDE7760F1Z5,Supplier 1226,Supplier 1226,INV-01226,INV-01226,2026-09-23,2026-09-23,84443,84443,15199.74,15199.74,1,1,2,EXACT_MATCH
07ABCDE8341F1Z5,07ABCDE8341F1Z5,Supplier 1227,Supplier 1227,INV-01227,INV-01227,2026-06-23,2026-06-23,11876,11876,2137.68,2137.68,1,1,2,EXACT_MATCH
07ABCDE3740F1Z5,07ABCDE3740F1Z5,Supplier 1228,Supplier 1228,INV-01228,INV-01228,2026-10-31,2026-10-31,37004,37004,6660.72,6660.72,1,1,2,EXACT_MATCH
07ABCDE3607F1Z5,07ABCDE3607F1Z5,Supplier 1229,Supplier 1229,INV-01229,INV-01229,2026-02-22,2026-02-22,51090,51090,9196.20,9196.20,1,1,2,EXACT_MATCH
07ABCDE5402F1Z5,07ABCDE5402F1Z5,Supplier 1230,Supplier 1230,INV-01230,INV-01230,2026-09-25,2026-09-25,80668,80668,14520.24,14520.24,1,1,2,EXACT_MATCH
07ABCDE1030F1Z5,07ABCDE1030F1Z5,Supplier 1231,Supplier 1231,INV-01231,INV-01231,2026-07-23,2026-07-23,32860,32860,5914.80,5914.80,1,1,2,EXACT_MATCH
07ABCDE3747F1Z5,07ABCDE3747F1Z5,Supplier 1232,Supplier 1232,INV-01232,INV-01232,2026-11-28,2026-11-28,35971,35971,6474.78,6474.78,1,1,2,EXACT_MATCH
07ABCDE4740F1Z5,07ABCDE4740F1Z5,Supplier 1233,Supplier 1233,INV-01233,INV-01233,2026-02-02,2026-02-02,91781,91781,16520.58,16520.58,1,1,2,EXACT_MATCH
07ABCDE1095F1Z5,07ABCDE1095F1Z5,Supplier 1234,Supplier 1234,INV-01234,INV-01234,2026-10-21,2026-10-21,21242,21242,3823.56,3823.56,1,1,2,EXACT_MATCH
07ABCDE7481F1Z5,07ABCDE7481F1Z5,Supplier 1235,Supplier 1235,INV-01235,INV-01235,2026-08-17,2026-08-17,31766,31766,5717.88,5717.88,1,1,2,EXACT_MATCH
07ABCDE4517F1Z5,07ABCDE4517F1Z5,Supplier 1236,Supplier 1236,INV-01236,INV-01236,2026-02-16,2026-02-16,49327,49327,8878.86,8878.86,1,1,2,EXACT_MATCH
07ABCDE2979F1Z5,07ABCDE2979F1Z5,Supplier 1237,Supplier 1237,INV-01237,INV-01237,2026-01-11,2026-01-11,6870,6870,1236.60,1236.60,1,1,2,EXACT_MATCH
07ABCDE4479F1Z5,07ABCDE4479F1Z5,Supplier 1238,Supplier 1238,INV-01238,INV-01238,2026-11-22,2026-11-22,6184,6184,1113.12,1113.12,1,1,2,EXACT_MATCH
07ABCDE1571F1Z5,07ABCDE1571F1Z5,Supplier 1239,Supplier 1239,INV-01239,INV-01239,2026-02-12,2026-02-12,78618,78618,14151.24,14151.24,1,1,2,EXACT_MATCH
07ABCDE9281F1Z5,07ABCDE9281F1Z5,Supplier 1240,Supplier 1240,INV-01240,INV-01240,2026-06-15,2026-06-15,53890,53890,9700.20,9700.20,1,1,2,EXACT_MATCH
07ABCDE5669F1Z5,07ABCDE5669F1Z5,Supplier 1241,Supplier 1241,INV-01241,INV-01241,2026-11-04,2026-11-04,36977,36977,6655.86,6655.86,1,1,2,EXACT_MATCH
07ABCDE1410F1Z5,07ABCDE1410F1Z5,Supplier 1242,Supplier 1242,INV-01242,INV-01242,2026-12-29,2026-12-29,49933,49933,8987.94,8987.94,1,1,2,EXACT_MATCH
07ABCDE2483F1Z5,07ABCDE2483F1Z5,Supplier 1243,Supplier 1243,INV-01243,INV-01243,2026-04-11,2026-04-11,21423,21423,3856.14,3856.14,1,1,2,EXACT_MATCH
07ABCDE2906F1Z5,07ABCDE2906F1Z5,Supplier 1244,Supplier 1244,INV-01244,INV-01244,2026-09-15,2026-09-15,78152,78152,14067.36,14067.36,1,1,2,EXACT_MATCH
07ABCDE2277F1Z5,07ABCDE2277F1Z5,Supplier 1245,Supplier 1245,INV-01245,INV-01245,2026-12-05,2026-12-05,53026,53026,9544.68,9544.68,1,1,2,EXACT_MATCH
07ABCDE4264F1Z5,07ABCDE4264F1Z5,Supplier 1246,Supplier 1246,INV-01246,INV-01246,2027-01-01,2027-01-01,12594,12594,2266.92,2266.92,1,1,2,EXACT_MATCH
07ABCDE5877F1Z5,07ABCDE5877F1Z5,Supplier 1247,Supplier 1247,INV-01247,INV-01247,2026-05-05,2026-05-05,43127,43127,7762.86,7762.86,1,1,2,EXACT_MATCH
07ABCDE2869F1Z5,07ABCDE2869F1Z5,Supplier 1248,Supplier 1248,INV-01248,INV-01248,2026-11-22,2026-11-22,64234,64234,11562.12,11562.12,1,1,2,EXACT_MATCH
07ABCDE2666F1Z5,07ABCDE2666F1Z5,Supplier 1249,Supplier 1249,INV-01249,INV-01249,2026-09-02,2026-09-02,44183,44183,7952.94,7952.94,1,1,2,EXACT_MATCH
07ABCDE9933F1Z5,07ABCDE9933F1Z5,Supplier 1250,Supplier 1250,INV-01250,INV-01250,2026-07-02,2026-07-02,53607,53607,9649.26,9649.26,1,1,2,EXACT_MATCH
07ABCDE6486F1Z5,07ABCDE6486F1Z5,Supplier 1251,Supplier 1251,INV-01251,INV-01251,2026-08-26,2026-08-26,10599,10599,1907.82,1907.82,1,1,2,EXACT_MATCH
07ABCDE1645F1Z5,07ABCDE1645F1Z5,Supplier 1252,Supplier 1252,INV-01252,INV-01252,2026-03-23,2026-03-23,26690,26690,4804.20,4804.20,1,1,2,EXACT_MATCH
07ABCDE9080F1Z5,07ABCDE9080F1Z5,Supplier 1253,Supplier 1253,INV-01253,INV-01253,2026-01-26,2026-01-26,77378,77378,13928.04,13928.04,1,1,2,EXACT_MATCH
07ABCDE7977F1Z5,07ABCDE7977F1Z5,Supplier 1254,Supplier 1254,INV-01254,INV-01254,2026-04-27,2026-04-27,77244,77244,13903.92,13903.92,1,1,2,EXACT_MATCH
07ABCDE3998F1Z5,07ABCDE3998F1Z5,Supplier 1255,Supplier 1255,INV-01255,INV-01255,2026-08-01,2026-08-01,8724,8724,1570.32,1570.32,1,1,2,EXACT_MATCH
07ABCDE2295F1Z5,07ABCDE2295F1Z5,Supplier 1256,Supplier 1256,INV-01256,INV-01256,2026-07-15,2026-07-15,91271,91271,16428.78,16428.78,1,1,2,EXACT_MATCH
07ABCDE2445F1Z5,07ABCDE2445F1Z5,Supplier 1257,Supplier 1257,INV-01257,INV-01257,2026-01-17,2026-01-17,57227,57227,10300.86,10300.86,1,1,2,EXACT_MATCH
07ABCDE8018F1Z5,07ABCDE8018F1Z5,Supplier 1258,Supplier 1258,INV-01258,INV-01258,2026-11-26,2026-11-26,36533,36533,6575.94,6575.94,1,1,2,EXACT_MATCH
07ABCDE7283F1Z5,07ABCDE7283F1Z5,Supplier 1259,Supplier 1259,INV-01259,INV-01259,2026-12-14,2026-12-14,2865,2865,515.70,515.70,1,1,2,EXACT_MATCH
07ABCDE2984F1Z5,07ABCDE2984F1Z5,Supplier 1260,Supplier 1260,INV-01260,INV-01260,2026-12-11,2026-12-11,14832,14832,2669.76,2669.76,1,1,2,EXACT_MATCH
07ABCDE4032F1Z5,07ABCDE4032F1Z5,Supplier 1261,Supplier 1261,INV-01261,INV-01261,2026-08-24,2026-08-24,76433,76433,13757.94,13757.94,1,1,2,EXACT_MATCH
07ABCDE6676F1Z5,07ABCDE6676F1Z5,Supplier 1262,Supplier 1262,INV-01262,INV-01262,2026-12-10,2026-12-10,81808,81808,14725.44,14725.44,1,1,2,EXACT_MATCH
07ABCDE6844F1Z5,07ABCDE6844F1Z5,Supplier 1263,Supplier 1263,INV-01263,INV-01263,2026-03-09,2026-03-09,91618,91618,16491.24,16491.24,1,1,2,EXACT_MATCH
07ABCDE6251F1Z5,07ABCDE6251F1Z5,Supplier 1264,Supplier 1264,INV-01264,INV-01264,2026-10-03,2026-10-03,67758,67758,12196.44,12196.44,1,1,2,EXACT_MATCH
07ABCDE3090F1Z5,07ABCDE3090F1Z5,Supplier 1265,Supplier 1265,INV-01265,INV-01265,2026-01-16,2026-01-16,2574,2574,463.32,463.32,1,1,2,EXACT_MATCH
07ABCDE3303F1Z5,07ABCDE3303F1Z5,Supplier 1266,Supplier 1266,INV-01266,INV-01266,2026-05-21,2026-05-21,60565,60565,10901.70,10901.70,1,1,2,EXACT_MATCH
07ABCDE7476F1Z5,07ABCDE7476F1Z5,Supplier 1267,Supplier 1267,INV-01267,INV-01267,2026-07-20,2026-07-20,93310,93310,16795.80,16795.80,1,1,2,EXACT_MATCH
07ABCDE1308F1Z5,07ABCDE1308F1Z5,Supplier 1268,Supplier 1268,INV-01268,INV-01268,2026-05-16,2026-05-16,11943,11943,2149.74,2149.74,1,1,2,EXACT_MATCH
07ABCDE9543F1Z5,07ABCDE9543F1Z5,Supplier 1269,Supplier 1269,INV-01269,INV-01269,2026-02-11,2026-02-11,88003,88003,15840.54,15840.54,1,1,2,EXACT_MATCH
07ABCDE6935F1Z5,07ABCDE6935F1Z5,Supplier 1270,Supplier 1270,INV-01270,INV-01270,2026-03-07,2026-03-07,30765,30765,5537.70,5537.70,1,1,2,EXACT_MATCH
07ABCDE8123F1Z5,07ABCDE8123F1Z5,Supplier 1271,Supplier 1271,INV-01271,INV-01271,2026-12-11,2026-12-11,65588,65588,11805.84,11805.84,1,1,2,EXACT_MATCH
07ABCDE6293F1Z5,07ABCDE6293F1Z5,Supplier 1272,Supplier 1272,INV-01272,INV-01272,2026-02-13,2026-02-13,5128,5128,923.04,923.04,1,1,2,EXACT_MATCH
07ABCDE4723F1Z5,07ABCDE4723F1Z5,Supplier 1273,Supplier 1273,INV-01273,INV-01273,2026-04-20,2026-04-20,20977,20977,3775.86,3775.86,1,1,2,EXACT_MATCH
07ABCDE1319F1Z5,07ABCDE1319F1Z5,Supplier 1274,Supplier 1274,INV-01274,INV-01274,2026-10-24,2026-10-24,52589,52589,9466.02,9466.02,1,1,2,EXACT_MATCH
07ABCDE5186F1Z5,07ABCDE5186F1Z5,Supplier 1275,Supplier 1275,INV-01275,INV-01275,2026-07-12,2026-07-12,97038,97038,17466.84,17466.84,1,1,2,EXACT_MATCH
07ABCDE2899F1Z5,07ABCDE2899F1Z5,Supplier 1276,Supplier 1276,INV-01276,INV-01276,2026-02-06,2026-02-06,45460,45460,8182.80,8182.80,1,1,2,EXACT_MATCH
07ABCDE5665F1Z5,07ABCDE5665F1Z5,Supplier 1277,Supplier 1277,INV-01277,INV-01277,2026-06-07,2026-06-07,11090,11090,1996.20,1996.20,1,1,2,EXACT_MATCH
07ABCDE6965F1Z5,07ABCDE6965F1Z5,Supplier 1278,Supplier 1278,INV-01278,INV-01278,2026-05-28,2026-05-28,15881,15881,2858.58,2858.58,1,1,2,EXACT_MATCH
07ABCDE4525F1Z5,07ABCDE4525F1Z5,Supplier 1279,Supplier 1279,INV-01279,INV-01279,2026-01-12,2026-01-12,96689,96689,17404.02,17404.02,1,1,2,EXACT_MATCH
07ABCDE5194F1Z5,07ABCDE5194F1Z5,Supplier 1280,Supplier 1280,INV-01280,INV-01280,2026-11-11,2026-11-11,2348,2348,422.64,422.64,1,1,2,EXACT_MATCH
07ABCDE2298F1Z5,07ABCDE2298F1Z5,Supplier 1281,Supplier 1281,INV-01281,INV-01281,2026-10-18,2026-10-18,20186,20186,3633.48,3633.48,1,1,2,EXACT_MATCH
07ABCDE4389F1Z5,07ABCDE4389F1Z5,Supplier 1282,Supplier 1282,INV-01282,INV-01282,2026-03-23,2026-03-23,33925,33925,6106.50,6106.50,1,1,2,EXACT_MATCH
07ABCDE5710F1Z5,07ABCDE5710F1Z5,Supplier 1283,Supplier 1283,INV-01283,INV-01283,2026-01-07,2026-01-07,35993,35993,6478.74,6478.74,1,1,2,EXACT_MATCH
07ABCDE8707F1Z5,07ABCDE8707F1Z5,Supplier 1284,Supplier 1284,INV-01284,INV-01284,2026-05-24,2026-05-24,67620,67620,12171.60,12171.60,1,1,2,EXACT_MATCH
07ABCDE8737F1Z5,07ABCDE8737F1Z5,Supplier 1285,Supplier 1285,INV-01285,INV-01285,2026-08-04,2026-08-04,73259,73259,13186.62,13186.62,1,1,2,EXACT_MATCH
07ABCDE6478F1Z5,07ABCDE6478F1Z5,Supplier 1286,Supplier 1286,INV-01286,INV-01286,2026-03-27,2026-03-27,13600,13600,2448.00,2448.00,1,1,2,EXACT_MATCH
07ABCDE4687F1Z5,07ABCDE4687F1Z5,Supplier 1287,Supplier 1287,INV-01287,INV-01287,2026-07-13,2026-07-13,69123,69123,12442.14,12442.14,1,1,2,EXACT_MATCH
07ABCDE9833F1Z5,07ABCDE9833F1Z5,Supplier 1288,Supplier 1288,INV-01288,INV-01288,2026-08-02,2026-08-02,65754,65754,11835.72,11835.72,1,1,2,EXACT_MATCH
07ABCDE2165F1Z5,07ABCDE2165F1Z5,Supplier 1289,Supplier 1289,INV-01289,INV-01289,2026-10-19,2026-10-19,12579,12579,2264.22,2264.22,1,1,2,EXACT_MATCH
