pr_gstin,gstr2b_gstin,pr_supplier_name,gstr2b_supplier_name,pr_invoice_no,gstr2b_invoice_no,pr_date,gstr2b_date,pr_taxable,gstr2b_taxable,pr_igst,gstr2b_igst,pr_cgst,gstr2b_cgst,pr_sgst,gstr2b_sgst,label,provenance
32ABCDE7397F1Z5,32ABCDE7397F1Z5,Korpal Group,Korpal Group,INV-4179/23,INV-4179/23,2025-09-24,2025-09-24,46394.52,46394.52,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3058"", ""mutations"": [], ""seed"": 12345}"
61ABCDE1864F1Z5,61ABCDE1864F1Z5,Kapur PLC,Kapur PLC,INV-6210/26,INV-6210/26,2026-03-05,2026-03-05,43220.61,43220.61,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_529"", ""mutations"": [], ""seed"": 12345}"
83ABCDE9907F1Z5,83ABCDE9907F1Z5,Misra-Chowdhury,Misra-Chowdhury,INV-5569/24,INV5569/Z4,2026-08-15,2026-08-15,58454.48,584544.8,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2621"", ""mutations"": [""ocr_mutation"", ""tax_mutation""], ""seed"": 12345}"
73ABCDE3866F1Z5,73ABCDE3866F1Z5,Jani-Radhakrishnan,Yohannan Inc,INV-7479/22,INV-4350/20,2025-10-21,2025-10-21,46050.98,78653.08,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_448"", ""mutations"": [""contradiction""], ""seed"": 12345}"
92ABCDE5034F1Z5,92ABCDE5034F1Z5,"Raju, Sahni and Garg","Raju, Sahni and Garg",INV-3151/21,INV-3I51/Z1,2026-07-31,2026-07-28,16406.94,16406.94,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_292"", ""mutations"": [""ocr_mutation"", ""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
99ABCDE5320F1Z5,99ABCDE5320F1Z5,Dar and Sons,Dar and Sons,INV-4115/25,INV-4115/25,2025-11-06,2025-11-06,70956.81,70956.81,0.0,12772.23,6386.11,0.0,6386.11,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1074"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
45ABCDE1334F1Z5,,Mane-Choudhry,,INV-9876/24,,2026-07-26,,62568.4,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_559"", ""mutations"": [""missing""], ""seed"": 12345}"
85ABCDE9434F1Z5,85ABCDE9434F1Z5,Tailor-Krishnan,Tailor-Krishnan,INV-5647/25,INV-5647/25,2025-11-25,2025-11-25,33366.76,33366.76,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_846"", ""mutations"": [""supplier_name_mutation""], ""seed"": 12345}"
19ABCDE5730F1Z5,19ABCDE5730F1Z5,Kala-Gopal,Kala-Gopal,INV-2129/21,INV/2129/Z1,2025-12-23,2025-12-24,74947.04,74947.04,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1985"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""date_mutation""], ""seed"": 12345}"
52ABCDE9067F1Z5,52ABCDE9067F1Z5,Sachdeva-Lal,Sachdeva-Lal,INV-9978/26,INV-9978/26,2026-05-16,2026-05-16,42582.99,68881.78,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_883"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
89ABCDE1333F1Z5,89ABCDE1333F1Z5,Bhatia Inc,Bhatia Inc,INV-7741/24,INV-7741/24,2025-09-02,2025-09-02,71698.91,71698.91,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3319"", ""mutations"": [], ""seed"": 12345}"
15ABCDE8509F1Z5,15ABCDE8509F1Z5,De LLC,De LLC,INV-1457/26,INV-1457/26,2026-04-11,2026-04-11,60111.66,60111.66,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2767"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
28ABCDE4139F1Z5,99ABCDE1538F1Z5,Anand-Thaker,Anand-Thaker,INV-2476/22,INV-2476/22,2025-11-08,2025-11-08,49072.52,49072.52,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1680"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
21ABCDE3917F1Z5,21ABCDE3917F1Z5,Kuruvilla Group,Kuruvilla Group,INV-2272/20,INV-2272/20,2025-10-20,2025-10-22,27446.84,27446.84,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3439"", ""mutations"": [""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
78ABCDE9063F1Z5,78ABCDE9063F1Z5,"Shenoy, Raju and Khosla",Ramaswamy-Toor,INV-2626/26,INV-5690/26,2025-12-12,2025-12-12,25371.29,75798.46,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_164"", ""mutations"": [""contradiction""], ""seed"": 12345}"
,87ABCDE7016F1Z5,,"Yohannan, Shenoy and Krishnamurthy",,INV-2144/20,,2025-08-31,,46654.05,,0.0,,0.0,,0.0,MISSING_IN_PR,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_375"", ""mutations"": [""missing""], ""seed"": 12345}"
30ABCDE4843F1Z5,99ABCDE7895F1Z5,"Parmer, Jaggi and Vala","Parmer, Jaggi and Vala",INV-3029/24,INV-3029/24,2025-10-24,2025-10-24,88855.44,88855.44,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2110"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
48ABCDE7640F1Z5,48ABCDE7640F1Z5,Shah-Nadig,Shah-Nadig,INV-7141/26,INV-141-26,2026-06-16,2026-06-16,81744.6,8174.46,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1645"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""tax_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
36ABCDE6434F1Z5,36ABCDE6434F1Z5,"Goyal, Jain and Gade","Goyal, Jain and Gade",INV-9937/24,INV-9937/24,2025-10-28,2025-10-28,91502.51,91502.51,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_230"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
24ABCDE8961F1Z5,24ABCDE8961F1Z5,Yadav-Patel,Yadav-Patel,INV-7509/22,INVF7509/2Z,2026-06-03,2026-06-03,53108.56,53108.56,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_849"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
92ABCDE7812F1Z5,92ABCDE7812F1Z5,Kashyap LLC,Kaul and Sons,INV-1242/24,INV-6065/20,2025-09-10,2025-09-10,39380.19,40032.55,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_628"", ""mutations"": [""contradiction""], ""seed"": 12345}"
77ABCDE9714F1Z5,77ABCDE9714F1Z5,Nazareth-Kale,Nazareth-Kale,INV-2539/25,INV-2539P25,2026-03-08,2026-08-03,37387.12,37387.12,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_208"", ""mutations"": [""ocr_mutation"", ""date_mutation""], ""seed"": 12345}"
43ABCDE8670F1Z5,43ABCDE8670F1Z5,Naidu Inc,Naidu Inc,INV-7304/21,INV-7304/21,2026-07-11,2026-07-11,26415.78,26415.78,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1930"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
50ABCDE2426F1Z5,50ABCDE2426F1Z5,"Choudhary, Salvi and Borra","Choudhary, Salvi and Borra",INV-4436/23,IN-443/23,2026-04-25,2026-04-25,27682.23,27682.23,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_213"", ""mutations"": [""ocr_mutation""], ""seed"": 12345}"
17ABCDE4495F1Z5,17ABCDE4495F1Z5,"Chaudhari, Sandal and Lanka","Chaudhari, Sandal and Lanka",INV-8817/21,INV-881V/2I,2026-08-11,2026-08-11,65319.08,65319.08,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1358"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
,43ABCDE1520F1Z5,,Lalla Ltd,,INV-4028/20,,2026-01-03,,99022.7,,0.0,,0.0,,0.0,MISSING_IN_PR,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_551"", ""mutations"": [""missing""], ""seed"": 12345}"
20ABCDE2850F1Z5,20ABCDE2850F1Z5,Chawla-Dewan,Chawla-Dewan,INV-9245/20,INV-9245/20,2025-12-25,2025-12-25,81643.78,81643.78,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2119"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
31ABCDE4835F1Z5,31ABCDE4835F1Z5,"Sehgal, Kohli and Mitra","Sehgal, Kohli and Mitra",INV-2587/24,INV-25B724,2026-08-03,2026-08-03,39931.4,39931.4,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_512"", ""mutations"": [""ocr_mutation""], ""seed"": 12345}"
73ABCDE6405F1Z5,73ABCDE6405F1Z5,"Saha, Chandra and Kashyap","Saha, Chandra and Kashyap",INV-2108/21,INV-2108-21,2025-11-11,2025-11-11,3806.5,3806.5,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3389"", ""mutations"": [""format_mutation"", ""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
55ABCDE2186F1Z5,55ABCDE2186F1Z5,"Sawhney, Palla and Saran","Sawhney, Palla and Saran",INV-9859/21,1NV-859-21,2026-01-18,2026-01-18,77015.21,77015.21,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1895"", ""mutations"": [""ocr_mutation"", ""format_mutation""], ""seed"": 12345}"
60ABCDE5009F1Z5,60ABCDE5009F1Z5,"Parsa, Garde and Behl","Parsa, Garde and Behl",INV-5103/23,INV-5103/23,2026-02-24,2026-02-24,27287.52,27287.52,0.0,4911.75,2455.88,0.0,2455.88,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2666"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
59ABCDE8114F1Z5,59ABCDE8114F1Z5,"Mander, Grover and Kant","Mander, Grover and Kant",INV-4870/21,INV-4870/21,2026-08-17,2026-08-17,14670.26,14670.26,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1968"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
87ABCDE5007F1Z5,87ABCDE5007F1Z5,"Menon, Pingle and Bobal","Menon, Pingle and Bobal",INV-8428/20,INV-8428/20,2025-12-01,2025-12-01,32168.85,32168.85,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2967"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
55ABCDE4184F1Z5,55ABCDE4184F1Z5,"Manda, Tank and Ahluwalia","Manda, Tank and Ahluwalia",INV-1097/23,INV-1097/23,2025-11-04,2025-11-04,54375.96,54375.96,0.0,9787.67,4893.84,0.0,4893.84,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1213"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
47ABCDE7443F1Z5,47ABCDE7443F1Z5,Varghese and Sons,Varghese and Sons,INV-7988/22,INV/7988/22,2026-03-15,2026-03-15,3155.02,3155.02,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1347"", ""mutations"": [""format_mutation""], ""seed"": 12345}"
85ABCDE8339F1Z5,85ABCDE8339F1Z5,"Mukherjee, Wali and Pandit","Mukherjee, Wali and Pandit",INV-3191/22,INV/319122,2026-05-01,2026-04-29,54737.54,54737.54,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_168"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
62ABCDE1784F1Z5,62ABCDE1784F1Z5,"Rao, Madan and Yogi","Rao, Madan and Yogi",INV-3749/26,INV-374/26,2026-02-04,2026-02-04,51189.61,51189.61,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3201"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
56ABCDE5226F1Z5,56ABCDE5226F1Z5,Sehgal-Nori,Sehgal-Nori,INV-9077/23,INV-9077/23,2026-03-14,2026-03-15,22595.14,22595.14,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3295"", ""mutations"": [""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
25ABCDE7931F1Z5,25ABCDE7931F1Z5,Tandon-Goel,Tandon-Goel,INV-3529/25,INV/3529/25,2025-10-28,2025-10-28,42295.53,42295.53,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3302"", ""mutations"": [""format_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
23ABCDE9468F1Z5,23ABCDE9468F1Z5,"Lal, Raghavan and Batra","Lal, Raghavan and Batra",INV-4133/22,INV-4133/22,2026-04-13,2026-04-13,94828.97,94828.97,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1345"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
94ABCDE8383F1Z5,94ABCDE8383F1Z5,"Andra, Chacko and Jayaraman","Andra, Chacko and Jayaraman",INV-4232/24,IW-4232-24,2025-09-15,2025-09-13,17180.68,17180.68,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_547"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""date_mutation""], ""seed"": 12345}"
78ABCDE8176F1Z5,78ABCDE8176F1Z5,Bhatt-Kothari,Bhatt-Kothari,INV-7421/20,INV/7421/20,2026-02-25,2026-02-24,3624.43,3624.43,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_459"", ""mutations"": [""format_mutation"", ""date_mutation""], ""seed"": 12345}"
31ABCDE5463F1Z5,31ABCDE5463F1Z5,Salvi Group,Salvi Group,INV-1647/26,INV-1647/26,2026-01-30,2026-01-30,59069.13,59069.13,0.0,10632.44,5316.22,0.0,5316.22,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1714"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
74ABCDE1961F1Z5,74ABCDE1961F1Z5,"Seshadri, Bail and Devi","Seshadri, Bail and Devi",INV-7627/22,INV-7627/22,2026-07-20,2026-07-20,44917.9,44917.9,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_747"", ""mutations"": [], ""seed"": 12345}"
81ABCDE5730F1Z5,81ABCDE5730F1Z5,Banik-Mitra,Banik-Mitra,INV-2236/20,INV-2236/20,2026-04-26,2026-04-26,7366.97,7366.97,0.0,1326.05,663.03,0.0,663.03,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_425"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
36ABCDE5049F1Z5,36ABCDE5049F1Z5,"Arya, Nigam and Bhatt","Arya, Nigam and Bhatt",INV-1754/20,INV-17S4/20,2025-10-15,2025-10-15,10024.53,10024.53,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2945"", ""mutations"": [""ocr_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
96ABCDE9336F1Z5,96ABCDE9336F1Z5,Nath-Mittal,Nath-Mittal,INV-2212/20,INV-2212/20,2025-08-28,2025-08-28,14753.86,14753.86,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3962"", ""mutations"": [], ""seed"": 12345}"
90ABCDE6055F1Z5,90ABCDE6055F1Z5,Goel-Krishnamurthy,Dubey-Mane,INV-3649/25,INV-6520/22,2026-02-23,2026-02-23,26217.3,94771.15,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_1139"", ""mutations"": [""contradiction""], ""seed"": 12345}"
70ABCDE2258F1Z5,70ABCDE2258F1Z5,Mukhopadhyay PLC,Mukhopadhyay PLC,INV-5591/21,INV-5591/21,2026-02-11,2026-02-11,50368.62,50368.62,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_841"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
,49ABCDE7474F1Z5,,D’Alia PLC,,INV-5251/20,,2026-07-13,,18220.23,,0.0,,0.0,,0.0,MISSING_IN_PR,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_601"", ""mutations"": [""missing""], ""seed"": 12345}"
28ABCDE2408F1Z5,28ABCDE2408F1Z5,Sibal-Wagle,Sibal-Wagle,INV-2105/21,1KV-2105/21,2025-10-07,2025-10-07,79239.01,79239.01,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3342"", ""mutations"": [""ocr_mutation""], ""seed"": 12345}"
84ABCDE8813F1Z5,84ABCDE8813F1Z5,"Shroff, Ramachandran and Korpal","Shroff, Ramachandran and Korpal",INV-3742/25,IN-3742-25,2025-09-27,2025-09-27,23176.62,23179.19,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_521"", ""mutations"": [""ocr_mutation"", ""format_mutation"", ""tax_mutation""], ""seed"": 12345}"
35ABCDE3807F1Z5,35ABCDE3807F1Z5,Dhar Inc,Dhar Inc,INV-2782/24,INV-2782/24,2026-03-10,2026-03-10,4232.93,7257.16,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1894"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
70ABCDE7305F1Z5,70ABCDE7305F1Z5,Jayaraman Group,Jayaraman Group,INV-2769/25,INV-2769-25,2026-05-19,2026-05-16,20763.68,20763.68,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_3776"", ""mutations"": [""format_mutation"", ""date_mutation""], ""seed"": 12345}"
18ABCDE7165F1Z5,18ABCDE7165F1Z5,"Narayan, Varghese and Mutti","Narayan, Varghese and Mutti",INV-4233/21,INV-4233/21,2025-09-19,2025-09-21,25471.95,25471.95,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1396"", ""mutations"": [""date_mutation"", ""supplier_name_mutation""], ""seed"": 12345}"
11ABCDE9870F1Z5,99ABCDE5698F1Z5,Basu Inc,Basu Inc,INV-2580/23,INV-2580/23,2025-09-27,2025-09-27,2777.3,2777.3,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1160"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
82ABCDE2511F1Z5,82ABCDE2511F1Z5,Kala Inc,Kala Inc,INV-9742/21,INV-9742/21,2026-04-01,2026-04-01,5156.31,5156.31,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1589"", ""mutations"": [], ""seed"": 12345}"
69ABCDE5424F1Z5,69ABCDE5424F1Z5,"Nagi, Thaker and Patel","Nagi, Thaker and Patel",INV-9564/24,INV-9564/24,2026-03-26,2026-03-26,13992.25,13992.25,0.0,2518.61,1259.3,0.0,1259.3,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_2291"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
65ABCDE1229F1Z5,65ABCDE1229F1Z5,Lata Ltd,Lata Ltd,INV-5243/26,INV-5243/26,2026-07-18,2026-07-18,11571.77,11571.77,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1634"", ""mutations"": [""sequential_invoice""], ""seed"": 12345}"
85ABCDE3116F1Z5,85ABCDE3116F1Z5,Kota-Varughese,Shah-Nayar,INV-7063/24,INV-6812/20,2026-06-16,2026-06-16,2413.33,38257.22,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_1487"", ""mutations"": [""contradiction""], ""seed"": 12345}"
52ABCDE1996F1Z5,52ABCDE1996F1Z5,More-Patil,More-Patil,INV-7068/22,INV-7068/22,2026-03-11,2026-03-11,54865.8,54865.8,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2753"", ""mutations"": [""supplier_name_mutation""], ""seed"": 12345}"
49ABCDE8042F1Z5,49ABCDE8042F1Z5,Chadha LLC,Chadha LLC,INV-5344/25,INV-54A/25,2025-08-30,2025-08-30,9621.49,9621.49,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_2351"", ""mutations"": [""ocr_mutation""], ""seed"": 12345}"
77ABCDE8296F1Z5,,"Babu, Mahajan and Dube",,INV-6247/25,,2026-01-21,,29411.51,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_828"", ""mutations"": [""missing""], ""seed"": 12345}"
85ABCDE9041F1Z5,85ABCDE9041F1Z5,Barman-Warrior,Barman-Warrior,INV-8075/26,INV-8075/26,2026-05-21,2026-05-21,10230.98,10230.98,0.0,1841.58,920.79,0.0,920.79,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_255"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
13ABCDE5823F1Z5,13ABCDE5823F1Z5,Ranganathan LLC,Ranganathan LLC,INV-6958/26,INV-958/Z6,2025-12-22,2025-12-22,86922.16,8692.22,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1256"", ""mutations"": [""ocr_mutation"", ""tax_mutation""], ""seed"": 12345}"
64ABCDE2450F1Z5,64ABCDE2450F1Z5,"Nagi, Loyal and Nagarajan","Nagi, Loyal and Nagarajan",INV-8524/26,INV-8524/26,2026-07-16,2026-07-16,73796.98,73796.98,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_1385"", ""mutations"": [], ""seed"": 12345}"
98ABCDE1681F1Z5,98ABCDE1681F1Z5,Mammen Inc,Mammen Inc,INV-4003/26,INV-4003/26,2026-02-06,2026-02-06,47104.36,59495.08,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1626"", ""mutations"": [""large_amount_diff""], ""seed"": 12345}"
42ABCDE9001F1Z5,42ABCDE9001F1Z5,Dhillon-Sur,Dhillon-Sur,INV-2609/20,INV-2609/20,2026-05-09,2026-05-09,95893.1,95893.1,0.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_924"", ""mutations"": [], ""seed"": 12345}"
45ABCDE8009F1Z5,45ABCDE8009F1Z5,"Samra, Karan and Ghosh","Samra, Karan and Ghosh",INV-6641/22,INV/6641/22,2026-05-04,2026-04-05,34621.29,34621.29,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY_MATCH,"{""source"": ""synthetic"", ""base_record_id"": ""POS_553"", ""mutations"": [""format_mutation"", ""date_mutation""], ""seed"": 12345}"
16ABCDE2200F1Z5,99ABCDE1394F1Z5,Jani and Sons,Jani and Sons,INV-1253/23,INV-1253/23,2026-01-27,2026-01-27,29739.09,29739.09,0.0,0.0,0.0,0.0,0.0,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1977"", ""mutations"": [""different_gstin""], ""seed"": 12345}"
27ABCDE3667F1Z5,27ABCDE3667F1Z5,Patel Inc,"Narang, Tata and Gopal",INV-6398/21,INV-6458/22,2026-03-17,2026-03-17,36317.75,55686.85,0.0,0.0,0.0,0.0,0.0,0.0,CONTRADICTION,"{""source"": ""synthetic"", ""base_record_id"": ""CONTRA_548"", ""mutations"": [""contradiction""], ""seed"": 12345}"
58ABCDE6477F1Z5,,Bhargava-Gill,,INV-6308/21,,2026-05-26,,4482.75,,0.0,,0.0,,0.0,,MISSING_IN_2B,"{""source"": ""synthetic"", ""base_record_id"": ""MISS_595"", ""mutations"": [""missing""], ""seed"": 12345}"
78ABCDE4385F1Z5,78ABCDE4385F1Z5,"Chhabra, Shere and Madan","Chhabra, Shere and Madan",INV-1490/25,INV-1490/25,2026-05-08,2026-05-08,75758.17,75758.17,0.0,13636.47,6818.24,0.0,6818.24,0.0,HARD_NEGATIVE,"{""source"": ""synthetic"", ""base_record_id"": ""HNEG_1035"", ""mutations"": [""tax_head_swap""], ""seed"": 12345}"
